GeneID,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT1G15890,NA,NA,472.3569329703994,2.7574382294791935,0.31382634615562643,1.2822243422617714e-19,5.689336258644e-18
AT4G01700,NA,NA,14824.74324880642,6.204015379286927,0.7173983932818231,1.319430904446439e-19,5.842253514116477e-18
AT1G15190,FLA19,NA,188.7041458054632,3.4866504114165853,0.3980722833169577,1.3504777021298389e-19,5.9673182780002725e-18
AT5G03330,NA,NA,689.7567241301942,2.546396802188641,0.2898454805031085,1.4662337565423068e-19,6.465392659800839e-18
AT1G14640,NA,NA,342.99790471520544,4.038512811948619,0.4635776256519872,1.4698752965713873e-19,6.4680586914002904e-18
AT3G28450,BIR2,NA,1630.394527756048,2.905004191955196,0.3318158151808312,1.5349832761477608e-19,6.740633776370104e-18
AT2G28830,AtPUB12,NA,694.458912510406,3.0555715843727502,0.3494018980451847,1.591538920630734e-19,6.974608216377236e-18
AT4G04700,CPK27,member of Calcium Dependent Protein Kinase,1246.6961937443878,3.4850481808962543,0.3999429373258741,1.6430617450413953e-19,7.185611713735448e-18
AT2G40740,ATWRKY55,member of WRKY Transcription Factor; Group III,229.83016240023912,7.608754437281975,0.8581711334015099,1.9347590412658976e-19,8.443954520672355e-18
AT2G20142,NA,NA,295.67216543146054,4.1072504794334606,0.4735027312421531,2.1167221184513096e-19,9.21921220424867e-18
AT4G17615,ATCBL1,"Member of AtCBL (Calcineurin B-like Calcium Sensor Proteins) family. Protein level is increased upon high salt, mannitol, and cold stresses. CBL1 interacts with CIPK23 and recruits the kinase to the plasma membrane where the substrate(s) of CIPK23 may reside. CBL1 localization is regulated by protein modification including myristolation and acylation.",1045.3058554610102,4.53564527400046,0.5249119264919507,2.1653505667501464e-19,9.411762524621347e-18
AT1G76700,NA,NA,2060.7180425261677,2.852610011302868,0.32812624597529294,2.701026580395296e-19,1.1716184136305295e-17
AT2G33490,NA,NA,1313.5826007346768,2.0987576817103433,0.24023362859536235,3.1909959591857064e-19,1.3813380475353083e-17
AT4G35600,CST,"plant-type connexin (gap junction-type protein), a component of plasmodesmata",3517.546023256504,2.883214792959591,0.33253760493355167,3.2239949238250725e-19,1.392791965266255e-17
AT4G02380,AtLEA5,Encodes AtLEA5 (late embryogenesis abundant like protein).  Also known as SENESCENCE-ASSOCIATED GENE 21 (SAG21).  Has a role on oxidative stress tolerance. mRNA levels are elevated in response to various stresses.,20621.33493983556,5.406293213162422,0.6327069232219543,3.605884946003869e-19,1.554618169635433e-17
AT2G16870,NA,NA,189.70650960300992,2.5786304815861874,0.2970274563571111,4.106897636974772e-19,1.767044563076539e-17
AT1G61430,NA,NA,427.09390812334874,3.270048341242657,0.3792341353041578,4.1605542981833793e-19,1.7865218839255965e-17
AT2G43000,ANAC042,NA,397.382649507265,5.455983446988213,0.6378239520729342,4.329345119466665e-19,1.855259403509075e-17
AT3G22370,AOX1A,"Encodes AOX1a, an isoform of alternative oxidase that is expressed in rosettes, flowers, and root. The alternative oxidase of plant mitochondria transfers electrons from the ubiquinone pool to oxygen without energy conservations.  It is regulated through transcriptional control and by pyruvate.  Plays a role in shoot acclimation to low temperature.  Also is capable of ameliorating reactive oxygen species production when the cytochrome pathway is inhibited.  AOX1a also functions as a marker for mitochondrial retrograde response.",2189.3328530091453,3.557009459297872,0.4142534816967371,4.545016604618728e-19,1.943770354320676e-17
AT2G31990,NA,NA,246.31564498507524,3.077445598789892,0.35774714450980183,5.710922266709033e-19,2.4374994476226255e-17
AT2G23810,TET8,Member of TETRASPANIN family,3464.08225830203,2.0179466197482103,0.23272228225927816,6.027381838434024e-19,2.567423567899356e-17
AT1G14550,NA,NA,472.3080350413518,8.300773774445052,0.9678094341719696,6.1444028296054695e-19,2.6120457378230994e-17
AT5G15130,ATWRKY72,member of WRKY Transcription Factor; Group II-b; contribute to basal immunity.,2105.326382017263,2.8755769473978945,0.334711320708479,6.71938815144807e-19,2.850787427281693e-17
AT5G66320,GATA5,"Encodes GATA transcription factor gene GNC, involved in regulating carbon and nitrogen metabolism. Expression occurs in aerial tissue at an early stage of  development and is inducible by nitrate.",767.2486354818722,2.196396868657547,0.25422514959114995,6.917531014500304e-19,2.9290174064975646e-17
AT5G39000,MDS2,NA,226.88941490932928,4.6851796739174825,0.5499539925450166,7.069864012465828e-19,2.987578645585262e-17
AT4G33430,ATBAK1,"Leu-rich receptor Serine/threonine protein kinase. Component of BR signaling that interacts with BRI1 in vitro and in vivo to form a heterodimer. Brassinolide-dependent association of BRI1  and BAK1 in vivo. Phosphorylation of both BRI1 and BAK1 on Thr residues was BR dependent. Although BAK1 and BRI1 alone localize in the plasma membrane, when BAK1 and BRI1 are coexpressed, the heterodimer BAK1/BRI1 they form is localized in the endosome.",7093.775138679983,3.055119489033374,0.35939100868407964,7.623373305031228e-19,3.2151010821892094e-17
AT1G13340,ISTL6,NA,753.9550227380713,4.236464008059012,0.4978735408331207,7.709476011364779e-19,3.244988539328993e-17
AT1G10990,NA,NA,785.9645194507929,3.2413910400707593,0.3794563385480871,8.413577788754293e-19,3.5343664643962315e-17
AT2G47680,NA,NA,461.4894413360382,2.4616616495734696,0.2865855444431071,8.723090463922179e-19,3.657172848437295e-17
