GeneID,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT4G23170,CRK9,"Induced in response to Salicylic acid.Similar to receptor-like kinase 4 and 5. NPR1, a known positive regulator of the SA signaling pathway is responsible for the SA-dependent induction and constitutive repression of EP1 gene's basal expression.",3822.247736727761,6.100920768694939,0.4561664537694825,2.60453517130434e-42,3.773563950914274e-40
AT1G30755,PSI2,NA,4644.80117113878,5.497348953400666,0.4116350890380369,3.197146218220267e-42,4.5699879299097485e-40
AT1G58420,NA,NA,1265.73339342608,7.939321475985564,0.5930601419890492,3.176470907271052e-42,4.5699879299097485e-40
AT1G16670,CRPK1,NA,2786.5816995481937,4.123207858094275,0.30871410645349784,5.1901865295721454e-42,7.369372847121837e-40
AT5G56960,NA,NA,1278.58595911597,10.44734759313284,0.7609397524962226,8.520086558591419e-42,1.2017271756614574e-39
AT2G36220,NA,NA,5294.139393057529,2.9068490734456054,0.2178807295115794,1.0338554551202266e-41,1.44862193968096e-39
AT2G44490,BGLU26,Encodes a glycosyl hydrolase that localizes to peroxisomes and acts as a component of an inducible preinvasion resistance mechanism. Required for mlo resistance.,46529.40391800581,4.336100878215116,0.3258688834962153,1.5635336769661673e-41,2.1764797550343425e-39
AT2G29100,ATGLR2.9,member of Putative ligand-gated ion channel subunit family,824.2855386586841,9.47545851378983,0.6975447850788806,2.0716758741146457e-41,2.8651008290190734e-39
AT4G18170,ATWRKY28,member of WRKY Transcription Factor; Group II-c,3392.634383477276,4.427937337912844,0.3350551668753702,3.2082772024409837e-41,4.408379861779877e-39
AT1G73080,ATPEPR1,Encodes a leucine-rich repeat receptor kinase.  Functions as a receptor for AtPep1 to amplify innate immunity response to pathogen attacks.,2522.6949767569704,3.2971523019096662,0.2491016600907581,3.5290141897544815e-41,4.8180092444481375e-39
AT4G14680,APS3,ATP sulfurylase,1358.2945499052576,3.9064723261416328,0.29611145308377856,5.143402822628124e-41,6.97733715390661e-39
AT3G55840,NA,NA,5770.379498588249,6.16818236239372,0.4723267036359649,1.636049587490083e-40,2.205353424959733e-38
AT1G53080,NA,NA,554.5759186557062,7.93226769976081,0.5993292622487705,1.6505130822474535e-40,2.2108570833777523e-38
