gene,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT1G02310,MAN1,NA,55.50224016826875,-0.11565117458056973,0.3866651680819638,0.20342522463645468,0.8248130300495984
AT1G06930,NA,NA,7.747135487784805,-0.10280884597785524,0.3840012474388929,0.20336411388126752,0.8248130300495984
AT1G51200,NA,NA,3103.3437570934825,-0.2513635095185321,0.3747214190835528,0.2033258953834504,0.8248130300495984
AT3G07560,APM2,"Encodes peroxin 13 (PEX13) involved in protein transport into peroxisomes, for example, peroxisomal import of nitric oxide synthase.",1967.37418460622,-0.23571257962415296,0.39094970196777235,0.20344110622052772,0.8248130300495984
AT3G17770,NA,NA,1257.6876759140375,0.16089848690646558,0.39627122766141654,0.2032620127285811,0.8248130300495984
AT3G63310,AtLFG2,Mediates cell elongation in brassinosteroid signaling.,860.2668115638821,-0.21061259096910015,0.3984746989987368,0.20319202098319175,0.8248130300495984
AT5G26330,NA,NA,38.3320947038052,0.17493744736078118,0.3991482514854866,0.2031191373775399,0.8248130300495984
AT5G37300,WSD1,"Encodes a bifunctional enzyme, wax ester synthase (WS) and diacylglycerol acyltransferase (DGAT). In vitro assay indicated a ratio of 10.9 between its WS and DGAT activities. Both mutant and in vivo expression/analysis in yeast studies indicated a role in wax biosynthesis.",37.620148798215325,0.1559476880189057,0.3957844435247803,0.2034094877294502,0.8248130300495984
AT5G41330,NA,NA,165.54993423721976,-0.22659743562809911,0.39466669680821614,0.20343666600817,0.8248130300495984
AT5G48610,NA,NA,355.2423446587636,0.1943475778440799,0.4013175812593248,0.2035153923389343,0.8249488884810618
AT5G05090,NA,NA,113.62148421931605,-0.23340065570933569,0.3916072353351531,0.20369440695387275,0.8255091240151842
AT5G06830,NA,NA,286.1755444413462,-0.23489445289185704,0.3895728973830644,0.2038369194617797,0.8258176853127023
AT5G25940,NA,NA,563.5227347985197,-0.24829624137694367,0.37507471926037134,0.20385218330540436,0.8258176853127023
AT1G31690,CuAO&#945;2,NA,47.63840641002227,0.13468383920425095,0.39123286147791986,0.20390494966015113,0.8258660733882918
AT5G43470,HRT,"Confers resistance to Peronospora parasitica. In arabidopsis ecotype Dijon-17, HRT-mediated signaling is dependent on light for the induction of  hypersensitive response and resistance to turnip crinkle virus.",693.0311337919215,0.22215163339616303,0.3985282612927317,0.2040837959280371,0.8264249950800877
AT1G32190,NA,NA,114.9354626637074,0.2213394911255296,0.39845246419227526,0.20417608184561536,0.8266332423091143
AT1G29980,NA,NA,104.5300378146646,0.19355648839647197,0.400845775012882,0.204367110021194,0.8272410970065578
AT4G04610,APR,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily.  This protein also belongs to the adenosine 5'-phosphosulfate reductase-like (APRL) group.",965.0598406457387,0.2161936123770464,0.4001150584286956,0.2045655206072889,0.8277130094812123
AT5G48830,NA,NA,130.57830095948788,0.22898719410508023,0.3956758811168809,0.2045393609199472,0.8277130094812123
AT1G01840,NA,NA,12.719698274980033,0.1368039418401533,0.39136610642818737,0.20500962621511332,0.828384552200988
AT1G22650,A/N-InvD,NA,133.54172242547986,0.20363090651060692,0.4004633796694104,0.2051983920867671,0.828384552200988
AT1G58360,AAP1,"Encodes AAP1 (amino acid permease 1), a neutral amino acid transporter expressed in seeds.  Functions in amino acid uptake into embryos.",1889.0805665574835,-0.177961043688366,0.3983135452598414,0.20519482418602736,0.828384552200988
AT1G80190,PSF1,"Similar to the PSF1 component of GINS complex, which in other organism was shown to be involved in the initiation of DNA replication.",117.30225720709454,-0.2313893955807416,0.3918157818984918,0.2048929942802176,0.828384552200988
AT2G18890,NA,NA,86.15358341071757,0.23108133914124115,0.39408350830267663,0.20526379122057992,0.828384552200988
AT2G22400,AtTRM4b,NA,474.96466705814817,-0.24024015461696108,0.38512616006021577,0.2051904902152408,0.828384552200988
AT2G38490,CIPK22,member of AtCIPKs,13.376934242115071,-0.12288436508762798,0.38789790389990986,0.20517664800688537,0.828384552200988
AT3G55950,ATCRR3,NA,45.29238058306617,-0.19553572706085628,0.39960466382314064,0.2050453021551817,0.828384552200988
AT3G63010,ATGID1B,"Encodes a gibberellin (GA) receptor ortholog of the rice GA receptor gene (OsGID1). Has GA-binding activity, showing higher affinity to GA4. Interacts with DELLA proteins in vivo in the presence of GA4.",251.86322669039657,-0.2208523555077501,0.3958598723090691,0.2050076000462827,0.828384552200988
AT4G01985,NA,NA,127.36726614422824,-0.09308673656295235,0.382031098488427,0.20507794589058653,0.828384552200988
AT4G21326,ATSBT3.12,NA,85.0790368463223,-0.21767354264485828,0.39752438424916176,0.20484390653575177,0.828384552200988
AT5G10250,DOT3,Encodes a protein with an N-terminal BTB/POZ domain and a C-terminal NPH3 family domain. dot3 mutants have defects in shoot and primary root growth and produce an aberrant parallel venation pattern in juvenile leaves.,14.407338866584892,0.09731516257745249,0.3829653768438976,0.20510490245715143,0.828384552200988
AT5G52030,NA,NA,113.17666253103512,0.2356825184552493,0.39167057015675966,0.205254322102963,0.828384552200988
AT2G22360,DJA6,NA,454.09875131726255,0.2347778016507669,0.3927431345854509,0.20539444716339875,0.8284160806544498
AT2G35630,GEM1,"Member of the MAP215 family of microtubule-associated proteins required to establish interphase arrays of cortical microtubules.Mutants have defects in cytokinesis during pollen development. Vegetative phenotypes observed in temperature sensitive mutants include left-handed organ twisting, isotropic cell expansion and impairment of root hair polarity.",750.0134635143529,0.24050959162034352,0.388755035593656,0.20537738516211523,0.8284160806544498
AT2G40970,MYBC1,NA,240.89175602424393,-0.23906051702473435,0.3859764268801623,0.20535158124432765,0.8284160806544498
AT2G34640,HMR,Present in transcriptionally active plastid chromosomes. Involved in plastid gene expression.,431.65774313760954,0.20167737774550945,0.4006741539184809,0.205445598682198,0.8284572268167326
AT2G40070,BPP1,NA,398.33168378076834,-0.2467191844108936,0.3791906803164175,0.2055292186230341,0.8286292590599049
AT1G02460,NA,NA,18.54542898646904,0.1447608274624871,0.3928358288760643,0.2065400205805583,0.8292090863161993
AT1G04930,NA,NA,50.99883890449243,-0.2146521197892288,0.397410008474617,0.20601643202341177,0.8292090863161993
