"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FGR",0.0269151661049239,-1.38856297858214,0.013,0.03,1
"CD3D",0.0269151661049239,-1.26284161697802,0.013,0.03,1
"NUDT5",0.027001340037273,-0.283452802474885,0.119,0.164,1
"CUEDC2",0.0270787882711668,-0.55801765827878,0.073,0.107,1
"PIH1D1",0.0271449477126703,-0.624493012441116,0.052,0.082,1
"CCL4",0.0271923516690882,0.877149033071901,0.098,0.065,1
"ZFAND5",0.027247610253554,0.598437238521431,0.07,0.042,1
"KDM2B",0.0273224238468589,-0.8591585112908,0.03,0.054,1
"SIDT1",0.027332651650074,-0.722129101402184,0.023,0.045,1
"TMEM43",0.0273777654933866,-0.752694352475982,0.05,0.079,1
"FCRL2",0.0276380453133087,-1.47181952901284,0.014,0.032,1
"IFT43",0.027692142829117,-0.937245673494458,0.027,0.05,1
"ZC3H12A",0.027751897883169,-0.800749824422109,0.027,0.05,1
"ADPRHL2",0.0278458953874512,0.757691891515925,0.099,0.067,1
"PLEKHF2",0.0279771585259766,-0.768237908496295,0.072,0.106,1
"RNF170",0.0280337718537538,1.15588143090811,0.037,0.017,1
"RILPL2",0.0281287512210426,-0.615613822313561,0.067,0.099,1
"TBC1D17",0.0281910075294416,-2.26464154800424,0.004,0.015,1
"OSTF1",0.0281924381810592,-0.570700190242102,0.111,0.151,1
"OCIAD2",0.0282280947875652,-0.384211865742987,0.226,0.277,1
"MAD1L1",0.0284223042635381,-0.88499534943239,0.03,0.054,1
"RFC3",0.0284383150344075,-1.69453148389909,0.004,0.015,1
"DPEP2",0.0284383150344075,-2.01618551699344,0.004,0.015,1
"BTK",0.0284411338211008,-0.45986311307563,0.081,0.116,1
"KRT18",0.0284693523064015,-2.10739176994389,0.004,0.015,1
"MANEA-AS1",0.0285004331442445,-2.16503551928023,0.004,0.015,1
"PLEKHO2",0.0285004331442445,-1.98525717344329,0.004,0.015,1
"ZNF836",0.0285004331442445,-1.9118874763077,0.004,0.015,1
"C17orf97",0.0285315288041366,-1.8855030516189,0.004,0.015,1
"EIF4H",0.028540667463523,-0.443991262988038,0.127,0.169,1
"GLI4",0.0285626680947294,-1.85492314296804,0.004,0.015,1
"ZNF581",0.0286073137729952,-0.746250608222062,0.033,0.057,1
"TOB1",0.0286250200597377,-1.76109846251516,0.004,0.015,1
"TMEM189",0.0286250200597377,-1.81185706652113,0.004,0.015,1
"DEDD2",0.0287393823282333,-0.718390320154925,0.031,0.055,1
"HSDL2",0.0287940474960687,2.24124038006683,0.018,0.005,1
"NBAS",0.0288127797829741,-1.72968207780338,0.004,0.015,1
"GTF2H3",0.0288127797829741,-1.70275640951866,0.004,0.015,1
"CSAD",0.0288329583716392,-1.54365541778477,0.008,0.022,1
"TARS2",0.0288468882102366,1.97121527322628,0.018,0.005,1
"XRCC4",0.0288468882102366,2.04044753497081,0.018,0.005,1
"SRSF9",0.0288989399488639,-0.342950701661479,0.266,0.314,1
"ASL",0.028983408787757,-1.60318471830763,0.008,0.022,1
"MAML2",0.0290059115559355,1.79805320606289,0.018,0.005,1
"KCNA3",0.0290590867531335,1.77013525322186,0.018,0.005,1
"TBC1D9B",0.0291345344703289,-1.46082450900868,0.008,0.022,1
"EBP",0.0291393174692719,-0.738061617457669,0.029,0.052,1
"ELP5",0.0291735399614311,-0.550909844830534,0.084,0.119,1
"XRCC6",0.0291828424057642,-0.331456554531848,0.341,0.399,1
"MAPK14",0.0292863378117281,-1.44934922859345,0.008,0.022,1
"LSMD1",0.0293053800383365,0.785243858609695,0.055,0.03,1
"CLN3.1",0.0293136171407541,-0.614901117261842,0.027,0.05,1
"MRPS34",0.0293909867359678,-0.474721303251498,0.131,0.174,1
"SATB1",0.0294977206952775,1.15162005525745,0.043,0.022,1
"NDUFB10",0.0296390806332089,-0.445671140570525,0.171,0.218,1
"TRUB2",0.0297039853705462,-0.481025146235845,0.046,0.074,1
"SMG9",0.0297715416237323,-1.10805266199478,0.008,0.022,1
"PDLIM7",0.0298487866081613,-1.276712459743,0.008,0.022,1
"UGP2",0.0298614191849432,-0.373103049494902,0.125,0.168,1
"POLD4",0.029861421273695,-0.534207134951567,0.127,0.166,1
"SPRYD4",0.0300102982128892,-0.73053890887582,0.027,0.05,1
"STAT3",0.0300510054896697,0.69040988527264,0.145,0.109,1
"SF3A3",0.0300654410894465,-0.366506849690971,0.153,0.2,1
"ATPIF1",0.0302032838940406,-0.47016264736804,0.125,0.166,1
"SMARCAD1",0.0302115232992755,-1.06246333933968,0.008,0.022,1
"HNRNPH1",0.0302521153979553,-0.657836675209237,0.03,0.054,1
"SF3B2",0.0303003525680809,-0.482287089386064,0.171,0.213,1
"VRK1",0.0303617307033656,-0.563681527308944,0.052,0.082,1
"MRPS18C",0.0304303146872346,0.407348884549124,0.221,0.174,1
"RSBN1",0.0304547516187603,-0.78822190520514,0.035,0.06,1
"COG7",0.0305539279967269,3.53093794159002,0.012,0.002,1
"NIT2",0.0306343550827538,-0.606241246016284,0.059,0.089,1
"RP1-197B17.3",0.0307713638941481,3.08592585046768,0.012,0.002,1
"RNF25",0.0308743815350633,-0.748268860167007,0.014,0.032,1
"CAAP1",0.0308748962735432,1.48486510830814,0.029,0.012,1
"SPAG1",0.0309901270662658,2.50513758072046,0.012,0.002,1
"COQ10A",0.0310344437641336,-1.23178016688167,0.017,0.035,1
"RNF24",0.0311367096933295,2.30438313437226,0.012,0.002,1
"ACSM3",0.0311967171398779,1.62096412527773,0.026,0.01,1
"HELB",0.0312049983402201,1.67403802425263,0.023,0.008,1
"C10orf76",0.0312102238679512,2.23373940841505,0.012,0.002,1
"TSPYL2",0.0312290545452417,-1.32464656567654,0.018,0.037,1
"UQCRC2",0.0312525934751987,-0.37664464608738,0.168,0.215,1
"BTAF1",0.031265611232506,1.69359363337643,0.026,0.01,1
"SNRK",0.0313030128319006,1.44088634657722,0.021,0.007,1
"ZNF622",0.0313117293776263,-0.362286367384412,0.056,0.087,1
"OAT",0.0313467812797383,-1.05774224103346,0.018,0.037,1
